date,hour,day,Is_Weekend,pool_price,volatility,max_price,95th_percentile,price_spike,demand,max_demand,volume,reserve_margin,lerner_index,high_lerner_flag,,,,,
2024-12-01,1,Sunday,1.00,10.50,21.78,70.71,51.39,0.00,10721.00,11891.00,22418.75,0.52,0.00,0.00,,,,,
2024-12-01,2,Sunday,1.00,13.33,22.40,70.71,51.39,0.00,10560.00,11891.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-01,3,Sunday,1.00,14.60,22.90,70.71,51.39,0.00,10514.00,11891.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-01,4,Sunday,1.00,19.08,23.18,70.71,51.39,0.00,10505.00,11891.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-01,5,Sunday,1.00,20.50,23.41,70.71,51.39,0.00,10549.00,11891.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-01,6,Sunday,1.00,23.26,23.57,70.71,51.39,0.00,10613.00,11891.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-01,7,Sunday,1.00,27.54,23.63,70.71,51.39,0.00,10744.00,11891.00,22418.75,0.52,11.80,1.00,,,,,
2024-12-01,8,Sunday,1.00,41.43,23.55,70.71,51.39,0.00,10919.00,11891.00,22418.75,0.51,14.78,1.00,,,,,
2024-12-01,9,Sunday,1.00,43.72,23.55,70.71,51.39,0.00,11059.00,11891.00,22418.75,0.51,23.00,1.00,,,,,
2024-12-01,10,Sunday,1.00,47.32,23.60,70.71,51.39,0.00,11233.00,11891.00,22418.75,0.50,22.60,1.00,,,,,
2024-12-01,11,Sunday,1.00,47.75,23.64,70.71,51.39,0.00,11343.00,11891.00,22418.75,0.49,24.22,1.00,,,,,
2024-12-01,12,Sunday,1.00,48.36,23.67,37.99,51.39,0.00,11334.00,11891.00,22418.75,0.49,23.59,1.00,,,,,
2024-12-01,13,Sunday,1.00,47.16,23.67,37.99,51.39,0.00,11421.00,11891.00,22418.75,0.49,24.56,1.00,,,,,
2024-12-01,14,Sunday,1.00,49.44,23.70,37.99,51.39,0.00,11446.00,11891.00,22418.75,0.49,24.42,1.00,,,,,
2024-12-01,15,Sunday,1.00,49.39,23.66,37.99,51.39,0.00,11440.00,11891.00,22418.75,0.49,30.09,1.00,,,,,
2024-12-01,16,Sunday,1.00,52.16,23.70,37.99,51.39,1.00,11494.00,11891.00,22418.75,0.49,48.04,1.00,,,,,
2024-12-01,17,Sunday,1.00,70.71,21.19,37.99,51.39,1.00,11724.00,11891.00,22418.75,0.48,24.45,1.00,,,,,
2024-12-01,18,Sunday,1.00,51.43,15.56,37.99,51.39,1.00,11891.00,11891.00,22418.75,0.47,19.60,1.00,,,,,
2024-12-01,19,Sunday,1.00,43.56,15.39,37.99,51.39,0.00,11794.00,11891.00,22418.75,0.47,0.00,0.00,,,,,
2024-12-01,20,Sunday,1.00,27.13,15.34,37.99,51.39,0.00,11677.00,11891.00,22418.75,0.48,0.00,0.00,,,,,
2024-12-01,21,Sunday,1.00,25.65,15.25,37.99,51.39,0.00,11543.00,11891.00,22418.75,0.49,0.73,1.00,,,,,
2024-12-01,22,Sunday,1.00,32.38,15.26,37.99,51.39,0.00,11370.00,11891.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-01,23,Sunday,1.00,28.62,15.31,37.99,51.39,0.00,11028.00,11891.00,22418.75,0.51,0.00,0.00,,,,,
2024-12-01,24,Sunday,0.00,12.93,15.69,37.99,51.39,0.00,10718.00,11891.00,22418.75,0.52,0.00,0.00,,,,,
2024-12-02,1,Monday,0.00,13.88,15.48,37.99,51.39,0.00,10554.00,11741.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-02,2,Monday,0.00,15.48,15.36,37.99,51.39,0.00,10393.00,11741.00,22418.75,0.54,0.00,0.00,,,,,
2024-12-02,3,Monday,0.00,5.69,15.96,37.99,51.39,0.00,10280.00,11741.00,22418.75,0.54,0.00,0.00,,,,,
2024-12-02,4,Monday,0.00,14.21,16.19,37.99,51.39,0.00,10271.00,11741.00,22418.75,0.54,0.00,0.00,,,,,
2024-12-02,5,Monday,0.00,18.26,16.28,37.99,51.39,0.00,10284.00,11741.00,22418.75,0.54,0.00,0.00,,,,,
2024-12-02,6,Monday,0.00,14.19,16.65,37.99,51.39,0.00,10446.00,11741.00,22418.75,0.53,0.00,0.00,,,,,
2024-12-02,7,Monday,0.00,9.84,17.32,37.99,51.39,0.00,10832.00,11741.00,22418.75,0.52,0.00,0.00,,,,,
2024-12-02,8,Monday,0.00,18.26,17.51,37.99,51.39,0.00,11302.00,11741.00,22418.75,0.50,0.00,0.00,,,,,
2024-12-02,9,Monday,0.00,22.39,17.48,37.99,51.39,0.00,11420.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,10,Monday,0.00,5.31,17.94,37.99,51.39,0.00,11446.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,11,Monday,0.00,4.64,18.25,37.99,51.39,0.00,11500.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,12,Monday,0.00,23.09,17.79,39.91,51.39,0.00,11522.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,13,Monday,0.00,32.43,17.34,39.91,51.39,0.00,11472.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,14,Monday,0.00,31.78,16.73,39.91,51.39,0.00,11422.00,11741.00,22418.75,0.49,23.08,1.00,,,,,
2024-12-02,15,Monday,0.00,37.99,16.21,39.91,51.39,0.00,11399.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,16,Monday,0.00,28.94,15.25,39.91,51.39,0.00,11435.00,11741.00,22418.75,0.49,0.00,0.00,,,,,
2024-12-02,17,Monday,0.00,31.91,11.98,39.91,51.39,0.00,11649.00,11741.00,22418.75,0.48,0.00,0.00,,,,,
2024-12-02,18,Monday,0.00,24.06,10.41,39.91,51.39,0.00,11741.00,11741.00,22418.75,0.48,0.00,0.00,,,,,
